[2025-11-08T21:12:48.825131] - X=0.5010, Y=0.4986, Z=0.9959
[2025-11-08T21:12:53.832873] - X=0.5010, Y=0.4986, Z=0.9959
[2025-11-08T21:12:58.840022] - X=0.5010, Y=0.4986, Z=0.9959
[2025-11-08T21:13:03.848369] - X=0.5010, Y=0.4986, Z=0.9959
[2025-11-08T21:13:08.855142] - X=0.5010, Y=0.4986, Z=0.9959
[2025-11-08T21:13:13.864082] - X=0.5010, Y=0.4986, Z=0.9959
[2025-11-08T21:13:18.871072] - X=0.5010, Y=0.4986, Z=0.9959
[2025-11-08T21:13:23.878911] - X=0.5010, Y=0.4986, Z=0.9959
[2025-11-08T21:13:28.888091] - X=0.5010, Y=0.4986, Z=0.9959
[2025-11-08T21:13:33.895458] - X=0.5010, Y=0.4986, Z=0.9959
[2025-11-08T21:13:38.903642] - X=0.5010, Y=0.4986, Z=0.9959
[2025-11-08T21:13:43.911072] - X=0.5010, Y=0.4986, Z=0.9959
[2025-11-08T21:13:48.919062] - X=0.5010, Y=0.4986, Z=0.9959
[2025-11-08T21:13:53.943251] - X=0.5010, Y=0.4986, Z=0.9959
[2025-11-08T21:13:58.951533] - X=0.5010, Y=0.4986, Z=0.9959
[2025-11-08T21:14:03.959424] - X=0.5010, Y=0.4986, Z=0.9959
[2025-11-08T21:14:08.967525] - X=0.5010, Y=0.4986, Z=0.9959
[2025-11-08T21:14:13.975792] - X=0.5010, Y=0.4986, Z=0.9959
[2025-11-08T21:14:18.982664] - X=0.5010, Y=0.4986, Z=0.9959
[2025-11-08T21:14:23.991808] - X=0.5010, Y=0.4986, Z=0.9959
[2025-11-08T21:14:28.999500] - X=0.5010, Y=0.4986, Z=0.9959
[2025-11-08T21:14:34.007612] - X=0.5010, Y=0.4986, Z=0.9959
[2025-11-08T21:14:39.015194] - X=0.5010, Y=0.4986, Z=0.9959
[2025-11-08T21:14:44.021594] - X=0.5010, Y=0.4986, Z=0.9959
[2025-11-08T21:14:49.028750] - X=0.5010, Y=0.4986, Z=0.9959
[2025-11-08T21:14:54.038935] - X=0.5010, Y=0.4986, Z=0.9959
[2025-11-08T21:14:59.046950] - X=0.5010, Y=0.4986, Z=0.9959
[2025-11-08T21:15:04.054209] - X=0.5010, Y=0.4986, Z=0.9959
[2025-11-08T21:15:09.062872] - X=0.5010, Y=0.4986, Z=0.9959
[2025-11-08T21:15:14.072311] - X=0.5010, Y=0.4986, Z=0.9959
[2025-11-08T21:15:19.080463] - X=0.5010, Y=0.4986, Z=0.9959
[2025-11-08T21:15:24.087541] - X=0.5010, Y=0.4986, Z=0.9959
[2025-11-08T21:15:29.094210] - X=0.5010, Y=0.4986, Z=0.9959
[2025-11-08T21:15:34.101898] - X=0.5010, Y=0.4986, Z=0.9959
[2025-11-08T21:15:39.107935] - X=0.5010, Y=0.4986, Z=0.9959
[2025-11-08T21:15:44.114333] - X=0.5010, Y=0.4986, Z=0.9959
[2025-11-08T21:15:49.122037] - X=0.5011, Y=0.4982, Z=0.9959
[2025-11-08T21:15:54.128733] - X=0.5006, Y=0.4989, Z=0.9957
[2025-11-08T21:15:59.135827] - X=0.5003, Y=0.4992, Z=0.9957
[2025-11-08T21:16:04.142436] - X=0.5003, Y=0.4993, Z=0.9957
[2025-11-08T21:16:09.149293] - X=0.5002, Y=0.4994, Z=0.9957
[2025-11-08T21:16:14.156390] - X=0.5002, Y=0.4994, Z=0.9957
[2025-11-08T21:16:19.162728] - X=0.5001, Y=0.4994, Z=0.9957
[2025-11-08T21:16:24.169389] - X=0.5001, Y=0.4994, Z=0.9957
[2025-11-08T21:16:29.176308] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:16:34.184326] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:16:39.192861] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:16:44.198998] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:16:49.206212] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:16:54.215853] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:16:59.222942] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:17:04.230724] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:17:09.237928] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:17:14.245288] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:17:19.252384] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:17:24.258922] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:17:29.265757] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:17:34.273393] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:17:39.280329] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:17:44.290048] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:17:49.297441] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:17:54.306004] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:17:59.312799] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:18:04.320568] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:18:09.326898] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:18:14.333892] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:18:19.341264] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:18:24.352888] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:18:29.360991] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:18:34.367664] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:18:39.374752] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:18:44.381801] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:18:49.388464] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:18:54.395969] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:18:59.403531] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:19:04.410243] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:19:09.416932] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:19:14.424082] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:19:19.431700] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:19:24.437889] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:19:29.444680] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:19:34.452164] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:19:39.459626] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:19:44.467489] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:19:49.474716] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:19:54.481881] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:19:59.489099] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:20:04.495505] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:20:09.502926] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:20:14.509129] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:20:19.516227] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:20:24.523120] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:20:29.529709] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:20:34.536546] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:20:39.543264] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:20:44.549440] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:20:49.556023] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:20:54.562571] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:20:59.568871] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:21:04.578352] - X=0.5001, Y=0.4995, Z=0.9957
[2025-11-08T21:21:09.584674] - X=0.5001, Y=0.4995, Z=0.9957
